symbol,date,price
Microsoft,Mar 2007,26.35
Microsoft,Apr 2007,28.3
Microsoft,May 2007,29.11
Microsoft,Jun 2007,27.95
Microsoft,Jul 2007,27.5
Microsoft,Aug 2007,27.34
Microsoft,Sep 2007,28.04
Microsoft,Oct 2007,35.03
Microsoft,Nov 2007,32.09
Microsoft,Dec 2007,34
Microsoft,Jan 2008,31.13
Microsoft,Feb 2008,26.07
Microsoft,Mar 2008,27.21
Microsoft,Apr 2008,27.34
Microsoft,May 2008,27.25
Microsoft,Jun 2008,26.47
Microsoft,Jul 2008,24.75
Microsoft,Aug 2008,26.36
Microsoft,Sep 2008,25.78
Microsoft,Oct 2008,21.57
Microsoft,Nov 2008,19.66
Microsoft,Dec 2008,18.91
Microsoft,Jan 2009,16.63
Microsoft,Feb 2009,15.81
Microsoft,Mar 2009,17.99
Microsoft,Apr 2009,19.84
Microsoft,May 2009,20.59
Microsoft,Jun 2009,23.42
Microsoft,Jul 2009,23.18
Microsoft,Aug 2009,24.43
Microsoft,Sep 2009,25.49
Microsoft,Oct 2009,27.48
Microsoft,Nov 2009,29.27
Microsoft,Dec 2009,30.34
Microsoft,Jan 2010,28.05
Microsoft,Feb 2010,28.67
Microsoft,Mar 2010,28.8
Amazon,Jan 2000,64.56
Amazon,Feb 2000,68.87
Amazon,Mar 2000,67
Amazon,Apr 2000,55.19
Amazon,May 2000,48.31
Amazon,Jun 2000,36.31
Amazon,Jul 2000,30.12
Amazon,Aug 2000,41.5
Amazon,Sep 2000,38.44
Amazon,Oct 2000,36.62
Amazon,Nov 2000,24.69
Amazon,Dec 2000,15.56
Amazon,Jan 2001,17.31
Amazon,Feb 2001,10.19
Amazon,Mar 2001,10.23
Amazon,Apr 2001,15.78
Amazon,May 2001,16.69
Amazon,Jun 2001,14.15
Amazon,Jul 2001,12.49
Amazon,Aug 2001,8.94
Amazon,Sep 2001,5.97
Amazon,Oct 2001,6.98
Amazon,Nov 2001,11.32
Amazon,Dec 2001,10.82
Amazon,Jan 2002,14.19
Amazon,Feb 2002,14.1
Amazon,Mar 2002,14.3
Amazon,Apr 2002,16.69
Amazon,May 2002,18.23
Amazon,Jun 2002,16.25
Amazon,Jul 2002,14.45
Amazon,Aug 2002,14.94
Amazon,Sep 2002,15.93
Amazon,Oct 2002,19.36
Amazon,Nov 2002,23.35
Amazon,Dec 2002,18.89
Amazon,Jan 2003,21.85
Amazon,Feb 2003,22.01
Amazon,Mar 2003,26.03
Amazon,Apr 2003,28.69
Amazon,May 2003,35.89
Amazon,Jun 2003,36.32
Amazon,Jul 2003,41.64
Amazon,Aug 2003,46.32
Amazon,Sep 2003,48.43
Amazon,Oct 2003,54.43
Amazon,Nov 2003,53.97
Amazon,Dec 2003,52.62
Amazon,Jan 2004,50.4
Amazon,Feb 2004,43.01
Amazon,Mar 2004,43.28
Amazon,Apr 2004,43.6
Amazon,May 2004,48.5
Amazon,Jun 2004,54.4
Amazon,Jul 2004,38.92
Amazon,Aug 2004,38.14
Amazon,Sep 2004,40.86
Amazon,Oct 2004,34.13
Amazon,Nov 2004,39.68
Amazon,Dec 2004,44.29
Amazon,Jan 2005,43.22
Amazon,Feb 2005,35.18
Amazon,Mar 2005,34.27
Amazon,Apr 2005,32.36
Amazon,May 2005,35.51
Amazon,Jun 2005,33.09
Amazon,Jul 2005,45.15
Amazon,Aug 2005,42.7
Amazon,Sep 2005,45.3
Amazon,Oct 2005,39.86
Amazon,Nov 2005,48.46
Amazon,Dec 2005,47.15
Amazon,Jan 2006,44.82
Amazon,Feb 2006,37.44
Amazon,Mar 2006,36.53
Amazon,Apr 2006,35.21
Amazon,May 2006,34.61
Amazon,Jun 2006,38.68
Amazon,Jul 2006,26.89
Amazon,Aug 2006,30.83
Amazon,Sep 2006,32.12
Amazon,Oct 2006,38.09
Amazon,Nov 2006,40.34
Amazon,Dec 2006,39.46
Amazon,Jan 2007,37.67
Amazon,Feb 2007,39.14
Amazon,Mar 2007,39.79
Amazon,Apr 2007,61.33
Amazon,May 2007,69.14
Amazon,Jun 2007,68.41
Amazon,Jul 2007,78.54
Amazon,Aug 2007,79.91
Amazon,Sep 2007,93.15
Amazon,Oct 2007,89.15
Amazon,Nov 2007,90.56
Amazon,Dec 2007,92.64
Amazon,Jan 2008,77.7
Amazon,Feb 2008,64.47
Amazon,Mar 2008,71.3
Amazon,Apr 2008,78.63
Amazon,May 2008,81.62
Amazon,Jun 2008,73.33
Amazon,Jul 2008,76.34
Amazon,Aug 2008,80.81
Amazon,Sep 2008,72.76
Amazon,Oct 2008,57.24
Amazon,Nov 2008,42.7
Amazon,Dec 2008,51.28
Amazon,Jan 2009,58.82
Amazon,Feb 2009,64.79
Amazon,Mar 2009,73.44
Amazon,Apr 2009,80.52
Amazon,May 2009,77.99
Amazon,Jun 2009,83.66
Amazon,Jul 2009,85.76
Amazon,Aug 2009,81.19
Amazon,Sep 2009,93.36
Amazon,Oct 2009,118.81
Amazon,Nov 2009,135.91
Amazon,Dec 2009,134.52
Amazon,Jan 2010,125.41
Amazon,Feb 2010,118.4
Amazon,Mar 2010,128.82
IBM,Jan 2000,100.52
IBM,Feb 2000,92.11
IBM,Mar 2000,106.11
IBM,Apr 2000,99.95
IBM,May 2000,96.31
IBM,Jun 2000,98.33
IBM,Jul 2000,100.74
IBM,Aug 2000,118.62
IBM,Sep 2000,101.19
IBM,Oct 2000,88.5
IBM,Nov 2000,84.12
IBM,Dec 2000,76.47
IBM,Jan 2001,100.76
IBM,Feb 2001,89.98
IBM,Mar 2001,86.63
IBM,Apr 2001,103.7
IBM,May 2001,100.82
IBM,Jun 2001,102.35
IBM,Jul 2001,94.87
IBM,Aug 2001,90.25
IBM,Sep 2001,82.82
IBM,Oct 2001,97.58
IBM,Nov 2001,104.5
IBM,Dec 2001,109.36
IBM,Jan 2002,97.54
IBM,Feb 2002,88.82
IBM,Mar 2002,94.15
IBM,Apr 2002,75.82
IBM,May 2002,72.97
IBM,Jun 2002,65.31
IBM,Jul 2002,63.86
IBM,Aug 2002,68.52
IBM,Sep 2002,53.01
IBM,Oct 2002,71.76
IBM,Nov 2002,79.16
IBM,Dec 2002,70.58
IBM,Jan 2003,71.22
IBM,Feb 2003,71.13
IBM,Mar 2003,71.57
IBM,Apr 2003,77.47
IBM,May 2003,80.48
IBM,Jun 2003,75.42
IBM,Jul 2003,74.28
IBM,Aug 2003,75.12
IBM,Sep 2003,80.91
IBM,Oct 2003,81.96
IBM,Nov 2003,83.08
IBM,Dec 2003,85.05
IBM,Jan 2004,91.06
IBM,Feb 2004,88.7
IBM,Mar 2004,84.41
IBM,Apr 2004,81.04
IBM,May 2004,81.59
IBM,Jun 2004,81.19
IBM,Jul 2004,80.19
IBM,Aug 2004,78.17
IBM,Sep 2004,79.13
IBM,Oct 2004,82.84
IBM,Nov 2004,87.15
IBM,Dec 2004,91.16
IBM,Jan 2005,86.39
IBM,Feb 2005,85.78
IBM,Mar 2005,84.66
IBM,Apr 2005,70.77
IBM,May 2005,70.18
IBM,Jun 2005,68.93
IBM,Jul 2005,77.53
IBM,Aug 2005,75.07
IBM,Sep 2005,74.7
IBM,Oct 2005,76.25
IBM,Nov 2005,82.98
IBM,Dec 2005,76.73
IBM,Jan 2006,75.89
IBM,Feb 2006,75.09
IBM,Mar 2006,77.17
IBM,Apr 2006,77.05
IBM,May 2006,75.04
IBM,Jun 2006,72.15
IBM,Jul 2006,72.7
IBM,Aug 2006,76.35
IBM,Sep 2006,77.26
IBM,Oct 2006,87.06
IBM,Nov 2006,86.95
IBM,Dec 2006,91.9
IBM,Jan 2007,93.79
IBM,Feb 2007,88.18
IBM,Mar 2007,89.44
IBM,Apr 2007,96.98
IBM,May 2007,101.54
IBM,Jun 2007,100.25
IBM,Jul 2007,105.4
IBM,Aug 2007,111.54
IBM,Sep 2007,112.6
IBM,Oct 2007,111
IBM,Nov 2007,100.9
IBM,Dec 2007,103.7
IBM,Jan 2008,102.75
IBM,Feb 2008,109.64
IBM,Mar 2008,110.87
IBM,Apr 2008,116.23
IBM,May 2008,125.14
IBM,Jun 2008,114.6
IBM,Jul 2008,123.74
IBM,Aug 2008,118.16
IBM,Sep 2008,113.53
IBM,Oct 2008,90.24
IBM,Nov 2008,79.65
IBM,Dec 2008,82.15
IBM,Jan 2009,89.46
IBM,Feb 2009,90.32
IBM,Mar 2009,95.09
IBM,Apr 2009,101.29
IBM,May 2009,104.85
IBM,Jun 2009,103.01
IBM,Jul 2009,116.34
IBM,Aug 2009,117
IBM,Sep 2009,118.55
IBM,Oct 2009,119.54
IBM,Nov 2009,125.79
IBM,Dec 2009,130.32
IBM,Jan 2010,121.85
IBM,Feb 2010,127.16
IBM,Mar 2010,125.55
Apple,Jan 2000,25.94
Apple,Feb 2000,28.66
Apple,Mar 2000,33.95
Apple,Apr 2000,31.01
Apple,May 2000,21
Apple,Jun 2000,26.19
Apple,Jul 2000,25.41
Apple,Aug 2000,30.47
Apple,Sep 2000,12.88
Apple,Oct 2000,9.78
Apple,Nov 2000,8.25
Apple,Dec 2000,7.44
Apple,Jan 2001,10.81
Apple,Feb 2001,9.12
Apple,Mar 2001,11.03
Apple,Apr 2001,12.74
Apple,May 2001,9.98
Apple,Jun 2001,11.62
Apple,Jul 2001,9.4
Apple,Aug 2001,9.27
Apple,Sep 2001,7.76
Apple,Oct 2001,8.78
Apple,Nov 2001,10.65
Apple,Dec 2001,10.95
Apple,Jan 2002,12.36
Apple,Feb 2002,10.85
Apple,Mar 2002,11.84
Apple,Apr 2002,12.14
Apple,May 2002,11.65
Apple,Jun 2002,8.86
Apple,Jul 2002,7.63
Apple,Aug 2002,7.38
Apple,Sep 2002,7.25
Apple,Oct 2002,8.03
Apple,Nov 2002,7.75
Apple,Dec 2002,7.16
Apple,Jan 2003,7.18
Apple,Feb 2003,7.51
Apple,Mar 2003,7.07
Apple,Apr 2003,7.11
Apple,May 2003,8.98
Apple,Jun 2003,9.53
Apple,Jul 2003,10.54
Apple,Aug 2003,11.31
Apple,Sep 2003,10.36
Apple,Oct 2003,11.44
Apple,Nov 2003,10.45
Apple,Dec 2003,10.69
Apple,Jan 2004,11.28
Apple,Feb 2004,11.96
Apple,Mar 2004,13.52
Apple,Apr 2004,12.89
Apple,May 2004,14.03
Apple,Jun 2004,16.27
Apple,Jul 2004,16.17
Apple,Aug 2004,17.25
Apple,Sep 2004,19.38
Apple,Oct 2004,26.2
Apple,Nov 2004,33.53
Apple,Dec 2004,32.2
Apple,Jan 2005,38.45
Apple,Feb 2005,44.86
Apple,Mar 2005,41.67
Apple,Apr 2005,36.06
Apple,May 2005,39.76
Apple,Jun 2005,36.81
Apple,Jul 2005,42.65
Apple,Aug 2005,46.89
Apple,Sep 2005,53.61
Apple,Oct 2005,57.59
Apple,Nov 2005,67.82
Apple,Dec 2005,71.89
Apple,Jan 2006,75.51
Apple,Feb 2006,68.49
Apple,Mar 2006,62.72
Apple,Apr 2006,70.39
Apple,May 2006,59.77
Apple,Jun 2006,57.27
Apple,Jul 2006,67.96
Apple,Aug 2006,67.85
Apple,Sep 2006,76.98
Apple,Oct 2006,81.08
Apple,Nov 2006,91.66
Apple,Dec 2006,84.84
Apple,Jan 2007,85.73
Apple,Feb 2007,84.61
Apple,Mar 2007,92.91
Apple,Apr 2007,99.8
Apple,May 2007,121.19
Apple,Jun 2007,122.04
Apple,Jul 2007,131.76
Apple,Aug 2007,138.48
Apple,Sep 2007,153.47
Apple,Oct 2007,189.95
Apple,Nov 2007,182.22
Apple,Dec 2007,198.08
Apple,Jan 2008,135.36
Apple,Feb 2008,125.02
Apple,Mar 2008,143.5
Apple,Apr 2008,173.95
Apple,May 2008,188.75
Apple,Jun 2008,167.44
Apple,Jul 2008,158.95
Apple,Aug 2008,169.53
Apple,Sep 2008,113.66
Apple,Oct 2008,107.59
Apple,Nov 2008,92.67
Apple,Dec 2008,85.35
Apple,Jan 2009,90.13
Apple,Feb 2009,89.31
Apple,Mar 2009,105.12
Apple,Apr 2009,125.83
Apple,May 2009,135.81
Apple,Jun 2009,142.43
Apple,Jul 2009,163.39
Apple,Aug 2009,168.21
Apple,Sep 2009,185.35
Apple,Oct 2009,188.5
Apple,Nov 2009,199.91
Apple,Dec 2009,210.73
Apple,Jan 2010,192.06
Apple,Feb 2010,204.62
Apple,Mar 2010,223.02
